Sample_DeskTF,Sample_Door,TSI_0.3_Desk,TSI_1_Desk,TSI_2.5_Desk,TSI_3_Desk,TSI_5_Desk,TSI_10_Desk,TSI_0.3_door,TSI_1_door,TSI_2.5_door,TSI_3_door,TSI_5_door,TSI_10_door,Notes,ACH,Ct_TF_Desk,Ct_TF_door,Ct_DIFF,TSI_0.3_DIFF,TSI_1_DIFF,TSI_2.5_DIFF,TSI_3_DIFF
H157,H158,23065.6,693.4666666666667,48.86666666666667,68.13333333333334,41.6,17.266666666666666,19384.4,718.8,48.46666666666667,75.4,59.53333333333333,20,Treadmill,0,31.15,23.166666666666668,7.983333333333331,3681.199999999997,-25.333333333333258,0.3999999999999986,-7.266666666666666
H180,H181,24464,1699,100,134,102,36,12644,678,46,62,36,11,Coughtest,0,33.2,33.650000000000006,-0.45000000000000284,11820,1021,54,72
H183,H184,16810.8,1366.4,61.2,62,29,16.2,16810.8,1366.4,61.2,62,29,16.2,Speaktest,0,32,30.75,1.25,0,0,0,0
H197,H198,10027.830508474577,635.5254237288135,24.440677966101696,28.152542372881356,17.93220338983051,10.983050847457626,9874.203389830509,600.8305084745763,24.8135593220339,31.25423728813559,17.271186440677965,8.35593220338983,Sitting,0,29.25,29.700000000000003,-0.45000000000000284,153.6271186440681,34.69491525423723,-0.3728813559322042,-3.1016949152542352
H208,H209,8298.083333333334,379.5833333333333,12.066666666666666,14,8.183333333333334,5.583333333333333,6131.233333333334,324.8833333333333,12.683333333333334,16.55,10.216666666666667,5.816666666666666,Dehumidification,0,30.55,30.85,-0.3000000000000007,2166.8500000000004,54.69999999999999,-0.6166666666666671,-2.5500000000000007
H220,H221,6953.693548387097,268.11290322580646,9.096774193548388,11.709677419354838,7.951612903225806,5.403225806451613,5558.5161290322585,256.88709677419354,9.258064516129032,13.806451612903226,9.209677419354838,4.596774193548387,Dehumidification,0,30.8,31.45,-0.6499999999999986,1395.177419354838,11.225806451612925,-0.16129032258064413,-2.096774193548388
H231,H232,9101.983333333334,437.6,20.816666666666666,23.266666666666666,12.366666666666667,5.15,7743.133333333333,337.53333333333336,15.333333333333334,19.466666666666665,11.6,4.516666666666667,Humidification,0,30.7,31,-0.3000000000000007,1358.8500000000004,100.06666666666666,5.4833333333333325,3.8000000000000007
H243,H244,8495.384615384615,210.66153846153847,10.092307692307692,13.753846153846155,9.061538461538461,4.061538461538461,7586.969230769231,174.86153846153846,8.507692307692308,10.723076923076922,7.507692307692308,2.8923076923076922,Humidification,0,30.45,31.05,-0.6000000000000014,908.415384615384,35.80000000000001,1.5846153846153843,3.0307692307692324
H261,H262,16591,565,57,89,52,10,16801,671,49,107,84,25,Coughtest,0,30.55,30.3,0.25,-210,-106,8,-18
H264,H265,32424.2,1242.6,75.6,119.2,66.6,30.4,29237.4,1031,76,110,78,38.8,Speaktest,0,30.1,29.15,0.9500000000000028,3186.7999999999993,211.5999999999999,-0.4000000000000057,9.200000000000003
H267,H268,23728,962.8,72.4,112.2,76.8,49.8,23613.6,1770.2,148.4,280.6,214.4,68.4,Speakloudlytest,0,28.6,28,0.6000000000000014,114.40000000000146,-807.4000000000001,-76,-168.40000000000003
H278,H279,15987.55,674.0833333333334,46.96666666666667,75.03333333333333,49.71666666666667,18.75,15016.233333333334,590.9833333333333,40.31666666666667,62.55,42.016666666666666,16.533333333333335,Sitting,0,26.3,28.25,-1.9499999999999993,971.3166666666657,83.10000000000002,6.649999999999999,12.483333333333334
